id,survey_id,user_id,question_1_answer,question_2_answer,question_3_answer,rating,feedback,created_at
ca7b33fa-be98-4748-bb1c-954e0d0e2bf6,general-feedback,32c77b6b-7adb-4be6-b3c4-eb6b358d943b,Khá dễ sử dụng,Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,Khá ổn,3,Công cụ custom mạnh hơn,2026-03-13 18:19:31.000000
788020a6-77fd-4702-be69-03275c56aaf0,general-feedback,7b488b09-a824-42a5-8229-c789ef0efccd,"Rất dễ sử dụng, mượt mà",Tôi sẵn sàng nâng cấp Pro để có thêm tính năng,"Giao diện đẹp, dễ dùng",1,Nhiều mẫu / template hơn,2026-03-13 02:19:00.000000
8438c9e2-fe25-414a-b2b6-622627bf285b,general-feedback,953bfbca-4988-47ae-9629-93ed4e3640d0,Khá dễ sử dụng,Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,"Giao diện đẹp, dễ dùng",1,Nhiều mẫu / template hơn,2026-03-10 17:20:52.000000
99b8f37e-5802-4788-af6d-7d8494fa4d7b,general-feedback,ee9faf3f-51e0-407b-a1b1-5a1547b248f6,"Rất dễ sử dụng, mượt mà",Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,Khá ổn,3,Nhiều mẫu / template hơn,2026-03-12 11:01:52.000000
f6a0dec5-ff0b-4bee-9c22-2675842183d6,general-feedback,531547a3-9d5e-4cca-b9d2-f673f898b857,Bình thường,Phiên bản Free đã đủ dùng với tôi,Khá ổn,2,Thanh toán nhanh và đơn giản hơn,2026-03-11 05:52:13.000000
63266fab-249b-4976-bac1-54ad587ea964,general-feedback,0bf36f10-e576-420f-9ef3-f4cfdf458486,Khá dễ sử dụng,Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,Rất ấn tượng và sáng tạo,4,Công cụ custom mạnh hơn,2026-03-10 13:00:54.000000
c7462752-66e2-4591-8f83-aeb18875a79a,general-feedback,59b09df9-c0f5-42bf-92cb-9379fc5b201e,"Rất dễ sử dụng, mượt mà",Tôi thấy ổn nhưng muốn thêm gói khác (ví dụ gói trung cấp),Khá ổn,2,Công cụ custom mạnh hơn,2026-03-14 21:43:59.000000
cf2758af-f83d-476b-91c3-1b92e69de79a,general-feedback,6ba29922-c266-47de-bbfc-1c7255a7a267,Khá dễ sử dụng,Phiên bản Free đã đủ dùng với tôi,"Giao diện đẹp, dễ dùng",4,Có thêm bộ sưu tập thiết kế sẵn (BST) theo chủ đề,2026-03-12 01:17:55.000000
d0eddf05-0dc8-40da-8de7-7d14d4488775,general-feedback,fe516c3c-fb0b-4917-b28c-4cc0da88023c,Bình thường,Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,Khá ổn,2,Nhiều mẫu / template hơn,2026-03-12 17:50:43.000000
4a319f2b-9d11-4ef7-828b-7e3f73cf3982,general-feedback,80b2f4a2-c8b0-4c59-94f3-33f1c2ef2354,Hơi khó thao tác ở một số bước,Tôi thấy ổn nhưng muốn thêm gói khác (ví dụ gói trung cấp),Rất ấn tượng và sáng tạo,1,"Tôi đã hài lòng, chưa cần cải thiện gì",2026-03-12 01:56:34.000000
f311ca30-e741-4bc2-9cf4-58566a2daf00,general-feedback,c1815d8d-0b98-43f4-b948-cfcae1ed80ae,Hơi khó thao tác ở một số bước,Tôi chưa hiểu rõ sự khác nhau giữa Free và Pro,Khá ổn,2,Thanh toán nhanh và đơn giản hơn,2026-03-13 21:37:25.000000
a697cd6d-03bb-4a30-ad02-cd4b35e9a403,general-feedback,16aa5364-1316-42c0-bfe3-17c9de36cdb1,"Rất dễ sử dụng, mượt mà",Tôi thấy ổn nhưng muốn thêm gói khác (ví dụ gói trung cấp),Khá ổn,3,"Tôi đã hài lòng, chưa cần cải thiện gì",2026-03-10 15:29:32.000000
2cc17513-a892-43d3-bbe2-19b0183dc0a1,general-feedback,7d09392c-fdea-46d9-b00f-661ebe886d5f,Bình thường,Tôi sẵn sàng nâng cấp Pro để có thêm tính năng,Rất ấn tượng và sáng tạo,3,Giá tốt hơn / ưu đãi nhiều hơn,2026-03-10 22:54:00.000000
